Date,Gcases,Gdeaths,Lcases,Ldeaths,SLcases,SLdeaths,TotCases,TotDeaths
3/25/2014,86,59,0,0,0,0,86,59
3/26/2014,0,1,0,0,0,0,86,60
3/27/2014,17,6,8,2,0,0,111,68
3/31/2014,9,4,0,0,0,0,120,72
4/1/2014,10,10,0,0,0,0,130,82
4/2/2014,5,3,0,3,0,0,135,88
4/7/2014,24,12,4,2,0,0,163,102
4/10/2014,6,6,0,2,0,0,169,110
4/17/2014,40,21,0,0,0,0,209,131
4/21/2014,6,7,0,0,0,0,215,138
4/23/2014,5,7,0,0,0,0,220,145
4/30/2014,13,10,0,0,0,0,233,155
5/5/2014,10,9,0,0,0,0,243,164
5/14/2014,2,2,0,0,0,0,245,166
5/23/2014,25,17,0,0,0,0,270,183
5/27/2014,0,0,0,0,1,1,271,184
5/28/2014,23,12,0,0,15,4,309,200
6/2/2014,10,7,1,0,34,4,354,211
6/5/2014,53,22,0,0,31,4,438,237
6/10/2014,28,21,2,1,8,0,476,259
6/11/2014,4,5,0,0,8,12,488,276
6/18/2014,14,23,18,14,0,15,520,328
6/24/2014,0,6,18,10,61,0,599,344
7/2/2014,16,33,56,31,81,65,752,473
7/7/2014,0,1,8,10,13,2,773,486
7/8/2014,0,0,16,9,53,26,842,521
7/14/2014,0,0,11,4,32,15,885,540
7/16/2014,0,0,30,17,49,50,964,607
7/21/2014,4,6,24,11,56,14,1048,638
7/24/2014,5,4,28,11,12,13,1093,666
7/28/2014,12,5,25,2,71,5,1201,678
7/31/2014,33,20,80,27,8,9,1322,734
8/3/2014,12,7,62,71,41,19,1437,831
8/4/2014,13,12,95,28,72,21,1617,892
8/8/2014,10,9,68,39,71,25,1766,965
8/12/2014,11,6,45,29,13,17,1835,1017
8/13/2014,4,4,71,25,53,19,1963,1065
8/15/2014,9,3,116,0,27,14,2115,1082
8/19/2014,24,14,48,118,38,17,2225,1231
8/21/2014,36,2,138,110,59,9,2458,1352
8/22/2014,28,10,110,48,3,18,2599,1428
8/28/2014,41,24,296,70,116,30,3052,1552
9/6/2014,164,87,493,395,235,69,3944,2103
9/8/2014,49,38,175,48,100,18,4268,2207
9/12/2014,0,2,35,0,63,15,4366,2224
9/16/2014,75,38,326,159,196,38,4963,2459
9/18/2014,6,6,303,163,53,0,5325,2628
9/22/2014,66,31,312,119,140,31,5843,2809
9/24/2014,14,3,258,99,127,4,6242,2915
9/26/2014,52,13,178,153,81,8,6553,3089
10/1/2014,83,62,238,168,283,17,7157,3336
10/3/2014,42,29,138,71,133,1,7470,3437
10/8/2014,99,29,90,141,352,256,8011,3863
10/10/2014,52,10,152,106,161,51,8376,4030
10/15/2014,122,65,173,97,302,140,8973,4332
10/17/2014,47,19,13,0,158,0,9191,4351
10/22/2014,21,42,403,0,296,0,9911,4393
10/25/2014,13,22,0,0,190,0,10114,4415
10/29/2014,114,71,1860,0,863,0,12951,4486
10/31/2014,0,21,0,0,0,0,12951,4507
11/5/2014,64,23,0,284,0,0,13015,4814
11/7/2014,29,13,94,69,103,60,13241,4956
11/12/2014,118,88,203,70,506,39,14068,5153
11/14/2014,41,24,56,127,218,18,14383,5322
11/19/2014,52,26,191,0,487,63,15113,5411
11/21/2014,76,22,13,0,117,17,15319,5450
11/26/2014,87,46,86,53,409,131,15901,5680
11/28/2014,21,52,467,129,510,132,16899,5993
12/3/2014,9,15,0,0,203,53,17111,6061
12/10/2014,128,101,84,32,585,185,17908,6379
12/17/2014,124,97,78,113,459,317,18569,6906
12/24/2014,181,82,65,94,648,497,19463,7579
12/31/2014,110,101,156,39,442,176,20171,7895
1/7/2015,68,73,139,73,334,185,20712,8226
1/14/2015,31,33,174,42,344,119,21261,8420
1/21/2015,65,62,147,67,216,83,21689,8632
1/28/2015,46,34,144,81,178,54,22057,8801
2/4/2015,58,34,123,60,222,77,22460,8972
2/11/2015,69,51,136,80,194,65,22859,9168
2/18/2015,64,62,126,74,169,67,23218,9371
2/25/2015,47,34,231,137,198,53,23694,9595
