Date,Days,Gcases,G7Rcases,Gdeaths,G7Rdeaths
3/25/2014,0,86,86,59,59
3/26/2014,1,0,6,1,2
3/27/2014,2,17,7,6,4
3/31/2014,6,9,9,4,5
4/1/2014,7,10,10,10,6
4/2/2014,8,5,16,3,9
4/7/2014,13,24,14,12,9
4/10/2014,16,6,14,6,9
4/17/2014,23,40,14,21,9
4/21/2014,27,6,15,7,10
4/23/2014,29,5,12,7,9
4/30/2014,36,13,14,10,10
5/5/2014,41,10,9,9,7
5/14/2014,50,2,11,2,8
5/23/2014,59,25,12,17,8
5/27/2014,63,0,18,0,10
5/28/2014,64,23,20,12,12
6/2/2014,69,10,20,7,12
6/5/2014,72,53,19,22,13
6/10/2014,77,28,19,21,14
6/11/2014,78,4,18,5,17
6/18/2014,85,14,16,23,16
6/24/2014,91,0,9,6,13
7/2/2014,99,16,5,33,10
7/7/2014,104,0,4,1,9
7/8/2014,105,0,3,0,7
7/14/2014,111,0,4,0,6
7/16/2014,113,0,3,0,2
7/21/2014,118,4,8,6,5
7/24/2014,121,5,9,4,6
7/28/2014,125,12,11,5,8
7/31/2014,128,33,13,20,9
8/3/2014,131,12,14,7,9
8/4/2014,132,13,14,12,9
8/8/2014,136,10,13,9,9
8/12/2014,140,11,12,6,8
8/13/2014,141,4,15,4,7
8/15/2014,143,9,17,3,7
8/19/2014,147,24,22,14,9
8/21/2014,149,36,44,2,21
8/22/2014,150,28,50,10,25
8/28/2014,156,41,49,24,25
9/6/2014,165,164,56,87,29
9/8/2014,167,49,52,38,29
9/12/2014,171,0,57,2,32
9/16/2014,175,75,53,38,29
9/18/2014,177,6,37,6,19
9/22/2014,181,66,42,31,22
9/24/2014,183,14,48,3,26
9/26/2014,185,52,52,13,25
10/1/2014,190,83,58,62,25
10/3/2014,192,42,66,29,30
10/8/2014,197,99,71,29,32
10/10/2014,199,52,67,10,37
10/15/2014,204,122,57,65,31
10/17/2014,206,47,67,19,37
10/22/2014,211,21,53,42,36
10/25/2014,214,13,54,22,38
10/29/2014,218,114,41,71,30
10/31/2014,220,0,51,21,40
11/5/2014,225,64,54,23,37
11/7/2014,227,29,60,13,38
11/12/2014,232,118,54,88,31
11/14/2014,234,41,67,24,35
11/19/2014,239,52,61,26,39
11/21/2014,241,76,58,22,39
11/26/2014,246,87,59,46,41
11/28/2014,248,21,71,52,51
12/3/2014,253,9,89,15,59
12/10/2014,260,128,94,101,71
12/17/2014,267,124,92,97,74
12/24/2014,274,181,93,82,72
12/31/2014,281,110,101,101,78
1/7/2015,288,68,89,73,69
1/14/2015,295,31,80,33,60
1/21/2015,302,65,64,62,55
