"time","water"
0,-0.13
1,-0.02
2,0.25
3,0.56
4,1.01
5,1.47
6,1.78
7,1.98
8,2.05
9,1.88
10,1.56
11,1.17
12,0.79
13,0.53
14,0.37
15,0.32
16,0.33
17,0.38
18,0.51
19,0.55
20,0.56
21,0.49
22,0.34
23,0.08
24,-0.06
25,-0.07
26,0.08
27,0.34
28,0.79
29,1.27
30,1.7
31,2.03
32,2.15
33,2.03
34,1.83
35,1.39
36,0.94
37,0.62
38,0.38
39,0.19
40,0.12
41,0.2
42,0.33
43,0.44
44,0.51
45,0.37
46,0.19
47,0.02
48,-0.13
49,-0.18
50,-0.09
51,0.19
52,0.6
53,1.05
54,1.52
55,1.87
56,2.18
57,2.23
58,2.1
59,1.72
60,1.24
61,0.88
62,0.64
63,0.41
64,0.23
65,0.21
66,0.23
67,0.32
68,0.48
69,0.54
70,0.44
71,0.22
72,0.01
73,-0.09
74,-0.1
75,0.1
76,0.45
77,0.86
78,1.24
79,1.64
80,1.97
81,2.13
82,2.1
83,1.76
84,1.5
85,1.15
86,0.79
87,0.46
88,0.32
89,0.24
90,0.26
