year, month, day, time, identifier, status, latN, longW, max_wind, min_pressure, kt34ne, kt34se, kt34sw,kt34nw,kt50ne, kt50se, kt50sw,kt50nw, kt64ne, kt64se, kt64sw,kt64nw,
2004, 09, 02, 1800,  , TD,  9.7,  27.6,  25, 1009,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
2004, 09, 03, 0000,  , TD,  9.7,  28.6,  30, 1007,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,    0,
2004, 09, 03, 0600,  , TS,  9.7,  30.3,  35, 1005,   50,    0,    0,   50,    0,    0,    0,    0,    0,    0,    0,    0,
2004, 09, 03, 1200,  , TS,  9.5,  32.1,  40, 1003,   50,    0,    0,   50,    0,    0,    0,    0,    0,    0,    0,    0,
2004, 09, 03, 1800,  , TS,  9.3,  33.6,  45, 1000,   60,  125,  125,   60,    0,    0,    0,    0,    0,    0,    0,    0,
2004, 09, 04, 0000,  , TS,  9.1,  35.0,  45,  999,   60,  125,  125,   60,    0,    0,    0,    0,    0,    0,    0,    0,
2004, 09, 04, 0600,  , TS,  8.9,  36.5,  50,  997,   60,  100,  100,   60,   25,   25,   25,   25,    0,    0,    0,    0,
2004, 09, 04, 1200,  , TS,  8.9,  38.2,  50,  997,   60,  100,  100,   60,   20,   20,   20,   20,    0,    0,    0,    0,
2004, 09, 04, 1800,  , TS,  9.0,  39.9,  55,  994,   60,  100,   60,   60,   20,   20,   20,   20,    0,    0,    0,    0,
2004, 09, 05, 0000,  , TS,  9.3,  41.4,  60,  991,   90,  100,   60,   90,   30,   30,   30,   30,    0,    0,    0,    0,
2004, 09, 05, 0600,  , HU,  9.5,  43.4,  65,  987,   90,   90,   90,   90,   40,   40,   40,   40,   20,   20,   20,   20,
2004, 09, 05, 1200,  , HU,  9.8,  45.1,  85,  977,  110,  110,   70,   90,   40,   40,   40,   40,   20,   20,   20,   20,
2004, 09, 05, 1800,  , HU, 10.2,  46.8, 110,  955,  110,  110,   90,   90,   40,   40,   40,   40,   20,   20,   20,   20,
2004, 09, 06, 0000,  , HU, 10.6,  48.5, 115,  948,  120,  120,  100,  100,   50,   50,   50,   50,   30,   30,   30,   30,
2004, 09, 06, 0600,  , HU, 10.8,  50.5, 110,  950,  120,  120,  100,  100,   50,   50,   50,   50,   30,   30,   30,   30,
2004, 09, 06, 1200,  , HU, 11.0,  52.5, 110,  955,  120,  120,  100,  120,   50,   50,   50,   50,   30,   30,   30,   30,
2004, 09, 06, 1800,  , HU, 11.3,  54.4,  90,  969,  120,   50,   50,  120,   75,   20,   20,   75,   45,    0,    0,   45,
2004, 09, 07, 0000,  , HU, 11.2,  56.1,  90,  964,  140,   50,   50,  140,   75,   20,   20,   90,   60,    0,    0,   60,
2004, 09, 07, 0600,  , HU, 11.3,  57.8,  95,  965,  140,   60,   60,  140,   90,   30,   30,   90,   60,   15,   15,   60,
2004, 09, 07, 1200,  , HU, 11.6,  59.4, 100,  963,  140,   60,   60,  140,   90,   30,   30,   90,   60,   15,   15,   60,
2004, 09, 07, 1800,  , HU, 11.8,  61.1, 105,  956,  140,  125,   30,  140,  100,   75,   25,  100,   60,   15,   15,   60,
2004, 09, 07, 2130, C, HU, 11.9,  61.8, 110,  952, " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ", " ",
2004, 09, 08, 0000,  , HU, 12.0,  62.6, 115,  950,  140,  125,   50,  140,  100,   75,   35,  100,   60,   20,   20,   60,
2004, 09, 08, 0600,  , HU, 12.3,  64.1, 120,  946,  140,  125,   50,  140,  100,   75,   35,  100,   60,   20,   20,   60,
2004, 09, 08, 1200,  , HU, 12.6,  65.5, 120,  955,  140,  125,   50,  140,  100,   75,   35,  100,   60,   20,   20,   60,
2004, 09, 08, 1800,  , HU, 13.0,  67.0, 120,  950,  140,  125,   50,  140,  100,   75,   35,  100,   60,   20,   20,   60,
2004, 09, 09, 0000,  , HU, 13.3,  68.3, 130,  938,  140,  125,   75,  140,  100,   75,   35,  100,   50,   25,   25,   50,
2004, 09, 09, 0600,  , HU, 13.7,  69.5, 140,  925,  140,  125,   75,  140,  100,   75,   35,  100,   50,   25,   25,   50,
2004, 09, 09, 1200,  , HU, 14.2,  70.8, 140,  919,  140,  125,   75,  140,  100,   75,   35,  100,   50,   25,   25,   50,
2004, 09, 09, 1800,  , HU, 14.7,  71.9, 130,  921,  150,   75,   60,  140,   60,   60,   45,   60,   30,   30,   25,   30,
2004, 09, 10, 0000,  , HU, 15.2,  72.8, 130,  923,  150,   90,   90,  150,  125,   60,   60,   60,   45,   35,   30,   45,
2004, 09, 10, 0600,  , HU, 15.7,  73.8, 125,  930,  150,   90,   90,  150,  125,   60,   60,   60,   45,   35,   30,   45,
