"time","kepler.radius","model.radius","actual.radius","kepler.angle","actual.angle"
-789.86,1.58852,1.58853,1.5891,2.13027,2.12831
-757.18,1.62104,1.621,1.62165,2.39837,2.39653
-753.19,1.62443,1.62443,1.62509,2.43037,2.42854
-726.27,1.64421,1.64423,1.64491,2.64327,2.64152
-30.95,1.64907,1.64907,1.64984,2.70815,2.70696
2.84,1.6621,1.6621,1.66288,2.96844,2.96732
13.74,1.664,1.66396,1.66473,3.05176,3.05065
49.91,1.6617,1.66171,1.66241,3.32781,3.32675
734.17,1.66232,1.66233,1.66356,3.30693,3.3064
772.03,1.64737,1.64738,1.64812,3.59867,3.59818
777.95,1.64382,1.64383,1.64456,3.64488,3.6444
819.86,1.61027,1.61028,1.61083,3.9791,3.97865
1507.15,1.61,1.61,1.61059,3.98145,3.98157
1542.94,1.57141,1.57141,1.57186,4.28018,4.28035
1544.97,1.569,1.569,1.56944,4.29762,4.29779
1565.94,1.54326,1.54327,1.5421,4.48063,4.48083
2303.05,1.47891,1.47889,1.47886,4.94472,4.94565
2326.98,1.44981,1.44981,1.44969,5.1807,5.18169
2330.96,1.44526,1.44525,1.44512,5.22084,5.22184
2348.9,1.42608,1.42608,1.42589,5.40487,5.40591
3103.05,1.38376,1.38377,1.38332,6.12878,6.13067
3134.98,1.38463,1.38467,1.38431,0.198457,0.200358
3141.9,1.38682,1.38677,1.38643,0.274599,0.276497
3176.8,1.40697,1.40694,1.40676,0.653406,0.65526
3891.17,1.43222,1.43225,1.43206,0.940685,0.943206
3930.98,1.4789,1.47888,1.47896,1.3384,1.34079
3937.97,1.48773,1.48776,1.48789,1.40552,1.40788
3982.8,1.54539,1.54541,1.54583,1.81763,1.81986
