month,day,year,temp,kwh,ccf,thermsPerDay,dur,totalbill,gasbill,elecbill,generatedKwh,notes,
6,26,2022,72,418,26,0.9,25,68.28,57.28,21,555,"Solar generation during this period. Electricity is fixed charges, ignoring credit of 18.01 for 137 kwh excess generated.",
5,30,2022,58,898,46,1.7,30,214.69,63.96,150.73,,,
4,27,2022,40,894,114,4.2,27,231.57,117.44,114.13,,,
3,31,2022,32,725,142,5.2,29,270.85,153.8,117.43,,,
3,2,2022,16,880,245,8.3,30,431.16,292.72,138.44,,,
1,31,2022,10,1046,257,9.3,31,459.38,302.59,156.79,,,
12,20,2021,35.1,1088,195,6,31,376.86,225.95,153.91,,,
11,29,2021,38,1017,90,3.4,29,271.84,115.68,156.16,,139.4,45.24
10,27,2021,59,839,23,0.9,29,184.64,,,,,
9,27,2021,73,958,21,0.7,32,180.96,31.04,149.92,,,
8,25,2021,75,817,10,0.4,30,151.63,23.39,128.24,,,
7,27,2021,76,980,14,0.5,30,178.09,25.95,152.14,,,
6,26,2021,67,914,11,0.4,33,167.62,25.5,142.12,,,
5,27,2021,60,NA,36,1.3,30,146.28,40.86,105.73,,,
4,27,2021,46,894,87,3.3,29,182.27,57.84,124.43,,,
3,29,2021,41,873,111,4.2,29,211.93,84.16,127.77,,,
2,28,2021,13,918,264,9,31,317.21,184.75,NA,, ,
1,27,2021,21,1110,194,7.1,30,281.55,134.31,155.02,,,
12,28,2020,27,1172,192,6.1,31,302.23,163.87,138.36,,,
11,23,2020,39,906,108,4.1,29,213.23,86.88,133.7,,,
10,25,2020,49,831,70,2.5,31,331.46,138.37,203.09,,,
4,28,2020,44,786,90,3.4,29,171.06,56.58,114.48,,,
3,30,2020,36,836,132,4.6,31,207.86,91.2,116.66,,,
1,28,2020,20,861,204,7.4,30,263.33,143.81,119.52,,,
12,30,2019,25,1032,214,6.6,35,281.38,152.36,136.58,,,
11,24,2019,32,875,139,4.9,31,199.59,103.85,116.59,,20.85 credit,
10,24,2019,51,601,47,1.8,29,145.23,47.64,97.59,,,
9,25,2019,68,759,18,0.7,31,141.99,26.93,115.06,,,
8,26,2019,72,794,16,0.6,29,146.55,25.02,121.53,,,
7,28,2019,76,985,18,0.6,32,176.75,26.96,149.79,,,
6,26,2019,69,652,17,0.7,29,126.72,26.58,100.14,,,
5,29,2019,54,665,49,1.8,30,99.03,47.91,111.25,,60.13 credit,
4,28,2019,45,622,89,3.1,31,153.79,60.26,93.53,,,
3,29,2019,27,667,149,5.5,29,210.82,108.21,102.61,,,
2,27,2019,10,846,276,9.9,30,324.75,122.35,202.4,,,
1,31,2019,18,837,254,8.5,31,323.99,197.31,126.68,,,
2,24,2005,29,557,166,6,28,213.71,166.63,47.08,,,
3,29,2005,31,772,179,5.5,33,239.85,117.05,62.8,,,
1,27,2005,15,891,224,7.5,30,294.96,223.92,71.04,,,
11,23,2004,43,860,82,2.8,29,160.26,88.51,71.75,,,
12,28,2004,23,1160,208,6,35,317.47,224.18,93.29,,,
9,26,2004,71,922,15,0.5,32,117.46,21.25,96.21,,,
8,25,2004,67,841,15,0.5,29,111.08,21.72,89.36,,,
7,27,2004,72,860,8,0.3,30,106.65,15.59,91.06,,,
1,28,2004,15,594,242,8.1,30,262.81,216.89,47.37,,,
6,27,2004,64,911,18,0.6,32,119.65,25.14,94.51,,,
5,26,2004,58,742,35,1.2,29,109.38,39.4,69.98,,,
4,27,2004,48,709,78,2.6,30,120.08,65.67,54.41,,,
3,28,2004,35,510,144,4.7,31,166.51,124.18,42.33,,,
2,26,2004,16,563,216,7.6,29,239.6,193.45,46.15,,,
12,29,2003,25,725,204,5.9,35,225.73,168.93,56.8,,,
11,24,2003,35,570,130,4.6,29,151.62,106.61,45.01,,,
10,26,2003,53,927,48,1.5,31,127.37,45.28,82.09,,,
9,25,2003,69,888,16,0.5,30,108.54,21.08,87.46,,,
8,26,2003,75,869,14,0.5,29,108.04,19.56,89.12,,,
7,28,2003,72,934,15,0.5,32,116.29,21.28,95.01,,,
6,26,2003,67,722,18,0.6,29,99.52,24.46,75.06,,,
4,28,2003,46,503,100,3.2,32,127.07,86.83,40.24,,,
3,27,2003,29,648,153,5.3,29,226.92,176.02,50.9,,,
12,29,2002,25,1032,190,5.5,35,217.42,140.49,76.93,,,
11,24,2002,34,865,126,4.1,31,154.93,94.67,65.02,,,
10,24,2002,47,790,69,2.4,29,122.51,55.74,66.77,,,
9,25,2002,69,838,16,0.5,30,99.46,18.16,82.2,,,
8,26,2002,72,812,15,0.5,29,101.39,17.56,83.83,,,
7,28,2002,76,925,16,0.5,32,111.65,18.61,93.04,,,
6,26,2002,69,496,23,0.8,29,76.43,23.42,53.01,,,
5,28,2002,51,394,60,2,30,87.47,48.92,38.55,,,
